Constituency,Ac No,Const. Type,Cand Age,Cand Category,Cand Name,Gender,Cand Sl No,% of Vote Share,"""Candidate Count""",Total Votes (Overall),State Filter,Margin Bands,LOD: Cand Votes Polled,Cand Votes as % of Total Const Votes,winner count,Age Band,Candidate_Position (copy),Candidate_Position (group),Candidate Position,Count of Candidates (SNo),LOD: Const Votes Polled,Partyabbre,Partytype,Party Name,St Code,State,Total Votes Polled,Total Votes Polled (R),Year,Margin
Porvorim,9,GEN,61,GEN,Fermeena P. Khaunte,Female,1,0.14%,Candidate Count,848861,TRUE,Upto 100,1217,7%,0,61-70,3,Lost,3,1,16631,NCP,National,Nationalist Congress Party,S05,Goa,1217,1217,2012,0
Benaulim,32,GEN,32,GEN,Valanka Alemao,Female,1,0.91%,Candidate Count,848861,TRUE,Upto 100,7694,36%,0,31-35,2,Lost,2,1,21097,INC,National,Indian National Congress,S05,Goa,7694,7694,2012,0
Taleigao,12,GEN,40,GEN,Jennifer A. Monserrate,Female,2,1.26%,Candidate Count,848861,TRUE,1001-2000,10682,51%,1,36-40,1,Won,1,1,20996,INC,National,Indian National Congress,S05,Goa,10682,9531,2012,"1,151"
Siroda,22,GEN,52,GEN,Shaila Shenvi Borkar,Female,4,0.03%,Candidate Count,848861,TRUE,Upto 100,230,1%,0,51-60,4,Lost,4,1,22984,AITC,State,All India Trinamool Congress,S05,Goa,230,230,2012,0
Taleigao,12,GEN,64,GEN,Annabelle Maria Pereira,Female,3,0.04%,Candidate Count,848861,TRUE,Upto 100,333,2%,0,61-70,3,Lost,3,1,20996,GSRP,Unrecognised,Goa Su-Raj Party,S05,Goa,333,333,2012,0
Cortalim,27,GEN,52,GEN,Nelly Rodrigues,Female,3,0.61%,Candidate Count,848861,TRUE,Upto 100,5158,25%,0,51-60,2,Lost,2,1,20422,GVP,Unrecognised,Goa Vikas Party,S05,Goa,5158,5158,2012,0
Taleigao,12,GEN,34,GEN,Natty Po,Female,4,0.03%,Candidate Count,848861,TRUE,Upto 100,226,1%,0,31-35,4,Lost,4,1,20996,SJP(R),Unrecognised,Samajwadi Janata Party (Rashtriya),S05,Goa,226,226,2012,0
Mapusa,5,GEN,33,GEN,Francisca De Souza,Female,4,0.03%,Candidate Count,848861,TRUE,Upto 100,280,1%,0,31-35,3,Lost,3,1,20209,IND,Independent,Independent,S05,Goa,280,280,2012,0
Cumbarjua,15,GEN,65,GEN,Nirmala P. Sawant,Female,5,0.94%,Candidate Count,848861,TRUE,Upto 100,7981,40%,0,61-70,2,Lost,2,1,19817,IND,Independent,Independent,S05,Goa,7981,7981,2012,0
Mandrem,1,GEN,48,GEN,Dayanand Raghunath Sopte,Male,1,1.00%,Candidate Count,848861,TRUE,Upto 100,8520,33%,0,46-50,2,Lost,2,1,25928,INC,National,Indian National Congress,S05,Goa,8520,8520,2012,0
Bicholim,3,GEN,44,GEN,Manohar Pandurang Shirodkar,Male,1,0.64%,Candidate Count,848861,TRUE,Upto 100,5411,26%,0,41-45,3,Lost,3,1,20994,BJP,National,Bharatiya Janata Party,S05,Goa,5411,5411,2012,0
Tivim,4,GEN,40,GEN,Kiran Mohan Kandolkar,Male,1,1.23%,Candidate Count,848861,TRUE,1001-2000,10473,52%,1,36-40,1,Won,1,1,20314,BJP,National,Bharatiya Janata Party,S05,Goa,10473,9361,2012,"1,112"
Mapusa,5,GEN,38,GEN,Ashish Tulshidas Shirodkar,Male,1,0.56%,Candidate Count,848861,TRUE,Upto 100,4786,24%,0,36-40,2,Lost,2,1,20209,NCP,National,Nationalist Congress Party,S05,Goa,4786,4786,2012,0
Siolim,6,GEN,56,GEN,Dayanand Mandrekar,Male,1,1.35%,Candidate Count,848861,TRUE,2001-5000,11430,53%,1,51-60,1,Won,1,1,21635,BJP,National,Bharatiya Janata Party,S05,Goa,11430,9259,2012,"2,171"
Saligao,7,GEN,47,GEN,Dilip Parulekar,Male,1,1.19%,Candidate Count,848861,TRUE,5001-10000,10084,52%,1,46-50,1,Won,1,1,19409,BJP,National,Bharatiya Janata Party,S05,Goa,10084,4276,2012,"5,808"
Calangute,8,GEN,49,GEN,Agnelo Nicholas Fernandes,Male,1,0.95%,Candidate Count,848861,TRUE,Upto 100,8022,44%,0,46-50,2,Lost,2,1,18348,INC,National,Indian National Congress,S05,Goa,8022,8022,2012,0
Aldona,10,GEN,61,GEN,Dayanand G. Narvekar,Male,1,0.92%,Candidate Count,848861,TRUE,Upto 100,7839,39%,0,61-70,2,Lost,2,1,20289,INC,National,Indian National Congress,S05,Goa,7839,7839,2012,0
Panaji,11,GEN,58,GEN,Christopher Fonseca,Male,1,0.05%,Candidate Count,848861,TRUE,Upto 100,383,2%,0,51-60,3,Lost,3,1,16763,CPI,National,Communist Party of India,S05,Goa,383,383,2012,0
Taleigao,12,GEN,33,GEN,Dattaprasad Madhukar Naik,Male,1,1.12%,Candidate Count,848861,TRUE,Upto 100,9531,45%,0,31-35,2,Lost,2,1,20996,BJP,National,Bharatiya Janata Party,S05,Goa,9531,9531,2012,0
St. Cruz,13,GEN,49,GEN,Atanasio J. Monserrate,Male,1,1.02%,Candidate Count,848861,TRUE,2001-5000,8644,40%,1,46-50,1,Won,1,1,21381,INC,National,Indian National Congress,S05,Goa,8644,6308,2012,"2,336"
St. Andre,14,GEN,43,GEN,Francisco Silveira,Male,1,0.90%,Candidate Count,848861,TRUE,Upto 100,7599,44%,0,41-45,2,Lost,2,1,17209,INC,National,Indian National Congress,S05,Goa,7599,7599,2012,0
Maem,16,GEN,49,GEN,Anant Shet,Male,1,1.42%,Candidate Count,848861,TRUE,5001-10000,12054,54%,1,46-50,1,Won,1,1,22411,BJP,National,Bharatiya Janata Party,S05,Goa,12054,6335,2012,"5,719"
Sanquelim,17,GEN,38,GEN,Pramod  Sawant,Male,1,1.68%,Candidate Count,848861,TRUE,5001-10000,14255,66%,1,36-40,1,Won,1,1,21592,BJP,National,Bharatiya Janata Party,S05,Goa,14255,7337,2012,"6,918"
Poriem,18,GEN,73,GEN,Pratapsingh  Raoji Rane,Male,1,1.62%,Candidate Count,848861,TRUE,2001-5000,13772,55%,1,>70,1,Won,1,1,24997,INC,National,Indian National Congress,S05,Goa,13772,11225,2012,"2,547"
