Constituency,Ac No,Const. Type,Cand Age,Cand Category,Cand Name,Gender,Cand Sl No,% of Vote Share,"""Candidate Count""",Total Votes (Overall),State Filter,Margin Bands,LOD: Cand Votes Polled,Cand Votes as % of Total Const Votes,winner count,Age Band,Candidate_Position (copy),Candidate_Position (group),Candidate Position,Count of Candidates (SNo),LOD: Const Votes Polled,Partyabbre,Partytype,Party Name,St Code,State,Total Votes Polled,Total Votes Polled (R),Year,Margin
Patsoi,19,GEN,51,GEN,Akoijam Mirabai Devi,Female,1,1.02%,Candidate Count,1396968,True,5001-10000,14257,53%,1,51-60,1,Won,1,1,27077,INC,National,Indian National Congress,S14,Manipur,14257,8710,2012,"5,547"
Langthabal,20,GEN,57,GEN,Waikhom Shyama Devi,Female,1,0.08%,Candidate Count,1396968,True,Upto 100,1091,5%,0,51-60,5,Lost,5,1,21174,INC,National,Indian National Congress,S14,Manipur,1091,1091,2012,0
Khangabok,35,GEN,49,GEN,Okram Landhoni Devi,Female,1,1.31%,Candidate Count,1396968,True,5001-10000,18339,68%,1,46-50,1,Won,1,1,26959,INC,National,Indian National Congress,S14,Manipur,18339,8468,2012,"9,871"
Keishamthong,12,GEN,42,GEN,Yumnam Romola Devi,Female,2,0.01%,Candidate Count,1396968,True,Upto 100,178,1%,0,41-45,4,Lost,4,1,20950,CPM,National,Communist Party of India  (Marxist),S14,Manipur,178,178,2012,0
Konthoujam,18,GEN,55,GEN,Maisnam Shakhi Leima,Female,2,0.06%,Candidate Count,1396968,True,Upto 100,823,3%,0,51-60,4,Lost,4,1,23560,CPI,National,Communist Party of India,S14,Manipur,823,823,2012,0
Thoubal,31,GEN,39,GEN,Oinam Indira,Female,2,0.26%,Candidate Count,1396968,True,Upto 100,3668,16%,0,36-40,2,Lost,2,1,23046,BJP,National,Bharatiya Janata Party,S14,Manipur,3668,3668,2012,0
Uripok,10,GEN,57,GEN,Naorem Ibema Devi,Female,4,0.10%,Candidate Count,1396968,True,Upto 100,1357,8%,0,51-60,6,Lost,6,1,17470,AITC,State,All India Trinamool Congress,S14,Manipur,1357,1357,2012,0
Bishnupur,26,GEN,51,GEN,Thokchom Bindhasakhi Devi,Female,6,0.00%,Candidate Count,1396968,True,Upto 100,63,0%,0,51-60,7,Lost,7,1,24080,SHS,State,Shivsena,S14,Manipur,63,63,2012,0
Heirok,33,GEN,44,GEN,Sumatibala Ningthoujam,Female,3,0.30%,Candidate Count,1396968,True,Upto 100,4136,16%,0,41-45,3,Lost,3,1,25435,MSCP,Unrecognised,Manipur State Congress Party,S14,Manipur,4136,4136,2012,0
Sagolband,11,GEN,51,GEN,L. Kshetrani Devi,Female,4,0.00%,Candidate Count,1396968,True,Upto 100,55,0%,0,51-60,5,Lost,5,1,18095,IVD,Unrecognised,Inqalab Vikas Dal,S14,Manipur,55,55,2012,0
