Constituency,Ac No,Const. Type,Cand Age,Cand Category,Cand Name,Gender,Cand Sl No,% of Vote Share,"""Candidate Count""",Total Votes (Overall),State Filter,Margin Bands,LOD: Cand Votes Polled,Cand Votes as % of Total Const Votes,winner count,Age Band,Candidate_Position (copy),Candidate_Position (group),Candidate Position,Count of Candidates (SNo),LOD: Const Votes Polled,Partyabbre,Partytype,Party Name,St Code,State,Total Votes Polled,Total Votes Polled (R),Year,Margin
Muktsar,86,GEN,60,GEN,Karan Kaur,Female,1,0.40%,Candidate Count,13901424,TRUE,5001-10000,55108,43%,1,51-60,1,Won,1,1,127363,INC,National,Indian National Congress,S19,Punjab,55108,45853,2012,"9,255"
Mansa,96,GEN,38,GEN,Gurpreet Kaur,Female,2,0.39%,Candidate Count,13901424,TRUE,Upto 100,54409,37%,0,36-40,2,Lost,2,1,148464,INC,National,Indian National Congress,S19,Punjab,54409,54409,2012,0
Sujanpur,1,GEN,56,GEN,Loveleen Chahal,Female,3,0.02%,Candidate Count,13901424,TRUE,Upto 100,2272,2%,0,51-60,5,Lost,5,1,110978,CPI,National,Communist Party of India,S19,Punjab,2272,2272,2012,0
Pathankot,3,GEN,36,GEN,Sudesh,Female,3,0.00%,Candidate Count,13901424,TRUE,Upto 100,179,0%,0,36-40,10,Lost,10,1,94742,NCP,National,Nationalist Congress Party,S19,Punjab,179,179,2012,0
Qadian,6,GEN,52,GEN,Charanjit Kaur Bajwa,Female,3,0.43%,Candidate Count,13901424,TRUE,10001-20000,59843,49%,1,51-60,1,Won,1,1,122276,INC,National,Indian National Congress,S19,Punjab,59843,43687,2012,"16,156"
Nawan shahr,47,GEN,53,GEN,Guriqbal Kaur,Female,3,0.26%,Candidate Count,13901424,TRUE,1001-2000,35910,31%,1,51-60,1,Won,1,1,117192,INC,National,Indian National Congress,S19,Punjab,35910,34151,2012,"1,759"
Abohar,81,GEN,61,GEN,Vijay Lakshami Bhadoo,Female,3,0.07%,Candidate Count,13901424,TRUE,Upto 100,9251,8%,0,61-70,3,Lost,3,1,114869,BJP,National,Bharatiya Janata Party,S19,Punjab,9251,9251,2012,0
Lehra,99,GEN,66,GEN,Rajinder Kaur Bhattal,Female,3,0.32%,Candidate Count,13901424,TRUE,2001-5000,44706,37%,1,61-70,1,Won,1,1,119944,INC,National,Indian National Congress,S19,Punjab,44706,41351,2012,"3,355"
Dhuri,107,GEN,42,GEN,Baljeet Kaur,Female,3,0.03%,Candidate Count,13901424,TRUE,Upto 100,4155,4%,0,41-45,4,Lost,4,1,112902,BSP,National,Bahujan Samaj Party,S19,Punjab,4155,4155,2012,0
Amritsar East,18,GEN,48,GEN,Navjot Sidhu (E/W),Female,4,0.24%,Candidate Count,13901424,TRUE,5001-10000,33406,36%,1,46-50,1,Won,1,1,92024,BJP,National,Bharatiya Janata Party,S19,Punjab,33406,26307,2012,"7,099"
