Constituency,Ac No,Const. Type,Cand Age,Cand Category,Cand Name,Gender,Cand Sl No,% of Vote Share,"""Candidate Count""",Total Votes (Overall),State Filter,Margin Bands,LOD: Cand Votes Polled,Cand Votes as % of Total Const Votes,winner count,Age Band,Candidate_Position (copy),Candidate_Position (group),Candidate Position,Count of Candidates (SNo),LOD: Const Votes Polled,Partyabbre,Partytype,Party Name,St Code,State,Total Votes Polled,Total Votes Polled (R),Year,Margin
Moradabad Nagar,28,GEN,52,GEN,Phoolwati Saini,Female,1,0.02%,Candidate Count,75831682,TRUE,Upto 100,12598,6%,0,51-60,4,Lost,4,1,209449,INC,National,Indian National Congress,S24,Uttar Pradesh,12598,12598,2012,0
Jasrana,96,GEN,49,GEN,Anita Devi,Female,1,0.01%,Candidate Count,75831682,TRUE,Upto 100,4200,2%,0,46-50,3,Lost,3,1,203543,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,4200,4200,2012,0
Nawabganj,121,GEN,48,GEN,Usha Gangwar,Female,1,0.07%,Candidate Count,75831682,TRUE,Upto 100,49303,26%,0,46-50,2,Lost,2,1,188370,BSP,National,Bahujan Samaj Party,S24,Uttar Pradesh,49303,49303,2012,0
Aonla,126,GEN,43,GEN,Anupama Morya,Female,1,0.02%,Candidate Count,75831682,TRUE,Upto 100,15715,10%,0,41-45,4,Lost,4,1,164613,INC,National,Indian National Congress,S24,Uttar Pradesh,15715,15715,2012,0
Amethi,186,GEN,49,GEN,Ameeta Sinh,Female,1,0.07%,Candidate Count,75831682,TRUE,Upto 100,49674,30%,0,46-50,2,Lost,2,1,163038,INC,National,Indian National Congress,S24,Uttar Pradesh,49674,49674,2012,0
Chhibramau,196,GEN,52,GEN,Archana Panday,Female,1,0.08%,Candidate Count,75831682,TRUE,Upto 100,61822,28%,0,51-60,3,Lost,3,1,224549,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,61822,61822,2012,0
Bidhuna,202,GEN,41,GEN,Geeta Alias Chandraprabha,Female,1,0.06%,Candidate Count,75831682,TRUE,Upto 100,43891,22%,0,41-45,3,Lost,3,1,200011,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,43891,43891,2012,0
Akbarpur - Raniya,206,GEN,51,GEN,Pratibha Shukla,Female,1,0.09%,Candidate Count,75831682,TRUE,Upto 100,67905,36%,0,51-60,2,Lost,2,1,186260,BSP,National,Bahujan Samaj Party,S24,Uttar Pradesh,67905,67905,2012,0
Kalpi,220,GEN,45,GEN,Umakanti,Female,1,0.08%,Candidate Count,75831682,TRUE,5001-10000,64289,29%,1,41-45,1,Won,1,1,222562,INC,National,Indian National Congress,S24,Uttar Pradesh,64289,57639,2012,"6,650"
Charkhari,231,GEN,53,GEN,Uma Bharti,Female,1,0.09%,Candidate Count,75831682,TRUE,>20000,66888,35%,1,51-60,1,Won,1,1,192365,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,66888,41623,2012,"25,265"
Husainganj,242,GEN,44,GEN,Usha Devi Alias Anila Maurya,Female,1,0.06%,Candidate Count,75831682,TRUE,Upto 100,41906,24%,0,41-45,2,Lost,2,1,171435,INC,National,Indian National Congress,S24,Uttar Pradesh,41906,41906,2012,0
Patti,249,GEN,33,GEN,Archana Devi,Female,1,0.07%,Candidate Count,75831682,TRUE,Upto 100,52350,28%,0,31-35,3,Lost,3,1,190311,BSP,National,Bahujan Samaj Party,S24,Uttar Pradesh,52350,52350,2012,0
Karachhana,260,GEN,37,GEN,Anamika Chaudhary,Female,1,0.01%,Candidate Count,75831682,TRUE,Upto 100,8149,5%,0,36-40,4,Lost,4,1,179352,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,8149,8149,2012,0
Barabanki,268,GEN,45,GEN,Kusum Singh,Female,1,0.00%,Candidate Count,75831682,TRUE,Upto 100,842,0%,0,41-45,12,Lost,12,1,212871,NCP,National,Nationalist Congress Party,S24,Uttar Pradesh,842,842,2012,0
Bahraich,286,GEN,44,GEN,Anupama Jaiswal,Female,1,0.04%,Candidate Count,75831682,TRUE,Upto 100,32308,19%,0,41-45,3,Lost,3,1,172029,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,32308,32308,2012,0
Gorakhpur Rural,323,GEN,31,GEN,Kajal,Female,1,0.02%,Candidate Count,75831682,TRUE,Upto 100,17636,9%,0,31-35,4,Lost,4,1,187979,INC,National,Indian National Congress,S24,Uttar Pradesh,17636,17636,2012,0
Bansdih,362,GEN,28,GEN,Ketakee,Female,1,0.04%,Candidate Count,75831682,TRUE,Upto 100,29208,15%,0,Upto 30,2,Lost,2,1,193355,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,29208,29208,2012,0
Karhal,110,GEN,58,GEN,Urmila Devi,Female,2,0.01%,Candidate Count,75831682,TRUE,Upto 100,9840,5%,0,51-60,4,Lost,4,1,197315,INC,National,Indian National Congress,S24,Uttar Pradesh,9840,9840,2012,0
Tilhar,133,GEN,37,GEN,Ragini Singh,Female,2,0.01%,Candidate Count,75831682,TRUE,Upto 100,6905,4%,0,36-40,4,Lost,4,1,196030,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,6905,6905,2012,0
Sandila,161,GEN,53,GEN,Ishrat Rasool,Female,2,0.01%,Candidate Count,75831682,TRUE,Upto 100,6886,4%,0,51-60,4,Lost,4,1,192949,INC,National,Indian National Congress,S24,Uttar Pradesh,6886,6886,2012,0
Unnao,165,GEN,38,GEN,Namrata Pathak,Female,2,0.06%,Candidate Count,75831682,TRUE,Upto 100,48397,27%,0,36-40,3,Lost,3,1,182257,BSP,National,Bahujan Samaj Party,S24,Uttar Pradesh,48397,48397,2012,0
Lucknow Cantt.,175,GEN,62,GEN,Prof. Rita Bahuguna Joshi,Female,2,0.08%,Candidate Count,75831682,TRUE,>20000,63052,39%,1,61-70,1,Won,1,1,161890,INC,National,Indian National Congress,S24,Uttar Pradesh,63052,41299,2012,"21,753"
Isauli,187,GEN,35,GEN,Nargis Nayab,Female,2,0.03%,Candidate Count,75831682,TRUE,Upto 100,24181,14%,0,31-35,4,Lost,4,1,170626,BSP,National,Bahujan Samaj Party,S24,Uttar Pradesh,24181,24181,2012,0
Hamirpur,228,GEN,45,GEN,Sadhvi Niranjan Jyoti,Female,2,0.08%,Candidate Count,75831682,TRUE,5001-10000,63762,28%,1,41-45,1,Won,1,1,231097,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,63762,55938,2012,"7,824"
Manikpur,237,GEN,47,GEN,Pushpa,Female,2,0.04%,Candidate Count,75831682,TRUE,Upto 100,30254,18%,0,46-50,3,Lost,3,1,166276,BJP,National,Bharatiya Janata Party,S24,Uttar Pradesh,30254,30254,2012,0
