Constituency,Ac No,Const. Type,Cand Age,Cand Category,Cand Name,Gender,Cand Sl No,% of Vote Share,"""Candidate Count""",Total Votes (Overall),State Filter,Margin Bands,LOD: Cand Votes Polled,Cand Votes as % of Total Const Votes,winner count,Age Band,Candidate_Position (copy),Candidate_Position (group),Candidate Position,Count of Candidates (SNo),LOD: Const Votes Polled,Partyabbre,Partytype,Party Name,St Code,State,Total Votes Polled,Total Votes Polled (R),Year,Margin
Kedarnath,7,GEN,43,GEN,Asha,Female,1,0.41%,Candidate Count,4250314,True,Upto 100,17632,37%,0,41-45,2,Lost,2,1,47481,BJP,National,Bharatiya Janata Party,S28,Uttarakhand,17632,17632,2012,0
Doiwala,23,GEN,39,GEN,Kamini Gairola,Female,1,0.01%,Candidate Count,4250314,True,Upto 100,219,0%,0,36-40,18,Lost,18,1,76430,NCP,National,Nationalist Congress Party,S28,Uttarakhand,219,219,2012,0
Haldwani,59,GEN,70,GEN,Indira Hridyesh,Female,1,1.00%,Candidate Count,4250314,True,>20000,42627,53%,1,61-70,1,Won,1,1,80596,INC,National,Indian National Congress,S28,Uttarakhand,42627,19044,2012,"23,583"
Ramnagar,61,GEN,53,GEN,Amrita Rawat,Female,1,0.56%,Candidate Count,4250314,True,2001-5000,23851,37%,1,51-60,1,Won,1,1,64468,INC,National,Indian National Congress,S28,Uttarakhand,23851,20122,2012,"3,729"
Dehradun Cantt.,21,GEN,42,GEN,Noopur Gupta,Female,2,0.04%,Candidate Count,4250314,True,Upto 100,1570,3%,0,41-45,4,Lost,4,1,62659,BSP,National,Bahujan Samaj Party,S28,Uttarakhand,1570,1570,2012,0
Hardwar,25,GEN,34,GEN,Tripta Sharma,Female,2,0.00%,Candidate Count,4250314,True,Upto 100,199,0%,0,31-35,10,Lost,10,1,82441,NCP,National,Nationalist Congress Party,S28,Uttarakhand,199,199,2012,0
Yamkeshwar,36,GEN,58,GEN,Vijay Brathwal,Female,2,0.33%,Candidate Count,4250314,True,2001-5000,13842,32%,1,51-60,1,Won,1,1,42994,BJP,National,Bharatiya Janata Party,S28,Uttarakhand,13842,10301,2012,"3,541"
Lansdowne,40,GEN,34,GEN,Km Jyoti Rautela,Female,2,0.21%,Candidate Count,4250314,True,Upto 100,8849,22%,0,31-35,3,Lost,3,1,39599,INC,National,Indian National Congress,S28,Uttarakhand,8849,8849,2012,0
Champawat,55,GEN,51,GEN,Smt Haripriya Joshi Alias Hema Joshi,Female,2,0.20%,Candidate Count,4250314,True,Upto 100,8610,17%,0,51-60,3,Lost,3,1,50184,BJP,National,Bharatiya Janata Party,S28,Uttarakhand,8610,8610,2012,0
B.H.E.L. ranipur,26,GEN,41,GEN,Pankaj Gupta,Female,3,0.00%,Candidate Count,4250314,True,Upto 100,205,0%,0,41-45,16,Lost,16,1,77622,NCP,National,Nationalist Congress Party,S28,Uttarakhand,205,205,2012,0
Kedarnath,7,GEN,31,GEN,Laxmi Jaggi,Female,4,0.04%,Candidate Count,4250314,True,Upto 100,1492,3%,0,31-35,7,Lost,7,1,47481,CPI,National,Communist Party of India,S28,Uttarakhand,1492,1492,2012,0
Yamkeshwar,36,GEN,54,GEN,Sarojani Devi,Female,4,0.24%,Candidate Count,4250314,True,Upto 100,10301,24%,0,51-60,2,Lost,2,1,42994,INC,National,Indian National Congress,S28,Uttarakhand,10301,10301,2012,0
Didihat,43,GEN,53,GEN,Rewati Joshi,Female,4,0.25%,Candidate Count,4250314,True,Upto 100,10472,23%,0,51-60,2,Lost,2,1,45081,INC,National,Indian National Congress,S28,Uttarakhand,10472,10472,2012,0
Haldwani,59,GEN,37,GEN,Renu Adhikari,Female,4,0.45%,Candidate Count,4250314,True,Upto 100,19044,24%,0,36-40,2,Lost,2,1,80596,BJP,National,Bharatiya Janata Party,S28,Uttarakhand,19044,19044,2012,0
Kedarnath,7,GEN,55,GEN,Shaila Rani Rawat,Female,5,0.47%,Candidate Count,4250314,True,2001-5000,19960,42%,1,51-60,1,Won,1,1,47481,INC,National,Indian National Congress,S28,Uttarakhand,19960,17632,2012,"2,328"
Mussoorie,22,GEN,36,GEN,Pramila Rawat,Female,3,0.01%,Candidate Count,4250314,True,Upto 100,570,1%,0,36-40,7,Lost,7,1,63093,UKDP,State,Uttarakhand Kranti Dal(P),S28,Uttarakhand,570,570,2012,0
Sitarganj,68,GEN,43,GEN,Shaheen Khan,Female,3,0.01%,Candidate Count,4250314,True,Upto 100,393,1%,0,41-45,9,Lost,9,1,73768,UKDP,State,Uttarakhand Kranti Dal(P),S28,Uttarakhand,393,393,2012,0
Roorkee,31,GEN,39,GEN,Prema,Female,4,0.00%,Candidate Count,4250314,True,Upto 100,67,0%,0,36-40,12,Lost,12,1,61326,JD(U),State,Janata Dal  (United),S28,Uttarakhand,67,67,2012,0
Ranikhet,50,GEN,31,GEN,Pratibha Negi,Female,4,0.01%,Candidate Count,4250314,True,Upto 100,269,1%,0,31-35,7,Lost,7,1,39271,UKDP,State,Uttarakhand Kranti Dal(P),S28,Uttarakhand,269,269,2012,0
Rishikesh,24,GEN,25,GEN,Arti,Female,5,0.00%,Candidate Count,4250314,True,Upto 100,169,0%,0,Upto 30,16,Lost,16,1,81076,JD(U),State,Janata Dal  (United),S28,Uttarakhand,169,169,2012,0
B.H.E.L. ranipur,26,GEN,41,GEN,Sarita Purohit,Female,7,0.01%,Candidate Count,4250314,True,Upto 100,247,0%,0,41-45,15,Lost,15,1,77622,UKDP,State,Uttarakhand Kranti Dal(P),S28,Uttarakhand,247,247,2012,0
Rudrapur,66,GEN,42,GEN,Rani Devi,Female,7,0.00%,Candidate Count,4250314,True,Upto 100,76,0%,0,41-45,13,Lost,13,1,93747,LJP,State,Lok Jan Shakti Party,S28,Uttarakhand,76,76,2012,0
Doiwala,23,GEN,49,GEN,Heema Bora,Female,13,0.01%,Candidate Count,4250314,True,Upto 100,382,0%,0,46-50,10,Lost,10,1,76430,SP,State,Samajwadi Party,S28,Uttarakhand,382,382,2012,0
Raipur,19,GEN,36,GEN,Anuradha,Female,5,0.01%,Candidate Count,4250314,True,Upto 100,224,0%,0,36-40,14,Lost,14,1,76577,MKD,Unrecognised,Maidani Kranti Dal,S28,Uttarakhand,224,224,2012,0
Yamkeshwar,36,GEN,43,GEN,Renu Bisht,Female,5,0.20%,Candidate Count,4250314,True,Upto 100,8541,20%,0,41-45,3,Lost,3,1,42994,UtRM,Unrecognised,Uttarakhand Raksha Morcha,S28,Uttarakhand,8541,8541,2012,0
Almora,52,GEN,35,GEN,Shobha Joshi,Female,6,0.01%,Candidate Count,4250314,True,Upto 100,421,1%,0,31-35,8,Lost,8,1,47577,UtRM,Unrecognised,Uttarakhand Raksha Morcha,S28,Uttarakhand,421,421,2012,0
Sahaspur,17,GEN,36,GEN,Pooja Subba,Female,9,0.01%,Candidate Count,4250314,True,Upto 100,474,1%,0,36-40,13,Lost,13,1,83335,GDP,Unrecognised,Gorkha Democratic Front,S28,Uttarakhand,474,474,2012,0
Pirankaliyar,30,GEN,31,GEN,Rekha Devi,Female,10,0.00%,Candidate Count,4250314,True,Upto 100,121,0%,0,31-35,11,Lost,11,1,73813,MD,Unrecognised,Mahan Dal,S28,Uttarakhand,121,121,2012,0
Dharampur,18,GEN,48,GEN,Sushma,Female,15,0.01%,Candidate Count,4250314,True,Upto 100,330,0%,0,46-50,9,Lost,9,1,75191,JMBP,Unrecognised,Jai Maha Bharath Party,S28,Uttarakhand,330,330,2012,0
Tehri,13,GEN,36,GEN,Asha,Female,7,0.01%,Candidate Count,4250314,True,Upto 100,307,1%,0,36-40,10,Lost,10,1,40399,IND,Independent,Independent,S28,Uttarakhand,307,307,2012,0
Dhanolti,14,GEN,28,GEN,Usha Panwar,Female,7,0.01%,Candidate Count,4250314,True,Upto 100,260,1%,0,Upto 30,12,Lost,12,1,45769,IND,Independent,Independent,S28,Uttarakhand,260,260,2012,0
Lansdowne,40,GEN,42,GEN,Madhu Bisht,Female,7,0.02%,Candidate Count,4250314,True,Upto 100,672,2%,0,41-45,6,Lost,6,1,39599,IND,Independent,Independent,S28,Uttarakhand,672,672,2012,0
Roorkee,31,GEN,38,GEN,Manisha,Female,10,0.00%,Candidate Count,4250314,True,Upto 100,96,0%,0,36-40,9,Lost,9,1,61326,IND,Independent,Independent,S28,Uttarakhand,96,96,2012,0
Bhimtal,57,GEN,38,GEN,Nirmala Joshi,Female,10,0.01%,Candidate Count,4250314,True,Upto 100,472,1%,0,36-40,9,Lost,9,1,56787,IND,Independent,Independent,S28,Uttarakhand,472,472,2012,0
Mussoorie,22,GEN,49,GEN,Godavari Thapa Thapli,Female,12,0.22%,Candidate Count,4250314,True,Upto 100,9248,15%,0,46-50,3,Lost,3,1,63093,IND,Independent,Independent,S28,Uttarakhand,9248,9248,2012,0
Champawat,55,GEN,40,GEN,Smt Lila Wati Gahtori,Female,12,0.02%,Candidate Count,4250314,True,Upto 100,867,2%,0,36-40,6,Lost,6,1,50184,IND,Independent,Independent,S28,Uttarakhand,867,867,2012,0
Vikasnagar,16,GEN,32,GEN,Babita Pundir,Female,13,0.02%,Candidate Count,4250314,True,Upto 100,829,1%,0,31-35,6,Lost,6,1,67730,IND,Independent,Independent,S28,Uttarakhand,829,829,2012,0
Dehradun Cantt.,21,GEN,46,GEN,Jyotsna,Female,14,0.01%,Candidate Count,4250314,True,Upto 100,567,1%,0,46-50,6,Lost,6,1,62659,IND,Independent,Independent,S28,Uttarakhand,567,567,2012,0
Sahaspur,17,GEN,30,GEN,Laxmi Agarwal,Female,18,0.13%,Candidate Count,4250314,True,Upto 100,5650,7%,0,Upto 30,4,Lost,4,1,83335,IND,Independent,Independent,S28,Uttarakhand,5650,5650,2012,0
Raipur,19,GEN,43,GEN,Rajani Rawat,Female,20,0.07%,Candidate Count,4250314,True,Upto 100,3144,4%,0,41-45,5,Lost,5,1,76577,IND,Independent,Independent,S28,Uttarakhand,3144,3144,2012,0
B.H.E.L. ranipur,26,GEN,28,GEN,Shalu Gahalavat,Female,22,0.00%,Candidate Count,4250314,True,Upto 100,199,0%,0,Upto 30,18,Lost,18,1,77622,IND,Independent,Independent,S28,Uttarakhand,199,199,2012,0
Yamunotri,2,GEN,52,GEN,Kedar Singh Rawat,Male,1,0.31%,Candidate Count,4250314,True,Upto 100,13313,30%,0,51-60,2,Lost,2,1,43936,INC,National,Indian National Congress,S28,Uttarakhand,13313,13313,2012,0
Gangotri,3,GEN,52,GEN,Gopal Singh Rawat,Male,1,0.31%,Candidate Count,4250314,True,Upto 100,13223,26%,0,51-60,2,Lost,2,1,50446,BJP,National,Bharatiya Janata Party,S28,Uttarakhand,13223,13223,2012,0
Badrinath,4,GEN,40,GEN,Anand Singh,Male,1,0.11%,Candidate Count,4250314,True,Upto 100,4681,9%,0,36-40,5,Lost,5,1,54994,CPI,National,Communist Party of India,S28,Uttarakhand,4681,4681,2012,0
Karnprayag,6,GEN,41,GEN,Ansuya Prasad Maikhuri,Male,1,0.26%,Candidate Count,4250314,True,101-1000,11147,23%,1,41-45,1,Won,1,1,48941,INC,National,Indian National Congress,S28,Uttarakhand,11147,10920,2012,227
Rudraprayag,8,GEN,50,GEN,Dheer Singh,Male,1,0.03%,Candidate Count,4250314,True,Upto 100,1355,3%,0,46-50,6,Lost,6,1,52180,BSP,National,Bahujan Samaj Party,S28,Uttarakhand,1355,1355,2012,0
Deoprayag,10,GEN,37,GEN,Jai Krishan (Pummy) Jansewak,Male,1,0.02%,Candidate Count,4250314,True,Upto 100,1001,2%,0,36-40,5,Lost,5,1,40166,BSP,National,Bahujan Samaj Party,S28,Uttarakhand,1001,1001,2012,0
Narendranagar,11,GEN,36,GEN,Om Gopal Rawat,Male,1,0.49%,Candidate Count,4250314,True,Upto 100,20819,43%,0,36-40,2,Lost,2,1,48816,BJP,National,Bharatiya Janata Party,S28,Uttarakhand,20819,20819,2012,0
Pratapnagar,12,GEN,56,GEN,Devi Singh,Male,1,0.07%,Candidate Count,4250314,True,Upto 100,3007,8%,0,51-60,5,Lost,5,1,38673,BSP,National,Bahujan Samaj Party,S28,Uttarakhand,3007,3007,2012,0
Tehri,13,GEN,54,GEN,Kishore Upadhyaya,Male,1,0.27%,Candidate Count,4250314,True,Upto 100,11649,29%,0,51-60,2,Lost,2,1,40399,INC,National,Indian National Congress,S28,Uttarakhand,11649,11649,2012,0
Dhanolti,14,GEN,53,GEN,Manmohan Singh,Male,1,0.26%,Candidate Count,4250314,True,Upto 100,10933,24%,0,51-60,2,Lost,2,1,45769,INC,National,Indian National Congress,S28,Uttarakhand,10933,10933,2012,0
Vikasnagar,16,GEN,44,GEN,M. Islam,Male,1,0.01%,Candidate Count,4250314,True,Upto 100,272,0%,0,41-45,15,Lost,15,1,67730,NCP,National,Nationalist Congress Party,S28,Uttarakhand,272,272,2012,0
