Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Runs
35,51,44,5,0,79.54,4,caught,2,,v England,Perth,22-Feb-92,35
11,19,19,1,0,57.89,4,caught,2,,v Australia,Brisbane,01-Mar-92,11
81,88,77,8,1,105.19,4,caught,1,,v Zimbabwe,Hamilton,07-Mar-92,81
4,11,11,0,0,36.36,4,caught,1,,v West Indies,Wellington,10-Mar-92,4
84,122,107,6,0,78.5,4,caught,1,,v New Zealand,Dunedin,12-Mar-92,84
14,14,14,1,0,100,4,caught,1,,v South Africa,Adelaide,15-Mar-92,14
70,137,91,8,0,76.92,2,run out,2,,v West Indies,Gwalior,21-Feb-96,70
90,124,84,14,1,107.14,2,stumped,2,,v Australia,Mumbai,27-Feb-96,90
137,198,137,8,5,100,2,run out,1,,v Sri Lanka,Delhi,02-Mar-96,137
3,10,12,0,0,25,1,bowled,1,,v Zimbabwe,Kanpur,06-Mar-96,3
31,103,59,3,0,52.54,2,bowled,1,,v Pakistan,Bengaluru,09-Mar-96,31
65,96,88,9,0,73.86,1,stumped,2,,v Sri Lanka,Kolkata,13-Mar-96,65
28,71,46,5,0,60.86,2,caught,1,,v South Africa,Hove,15-May-99,28
2,10,3,0,0,66.66,4,bowled,1,,v Sri Lanka,Taunton,26-May-99,2
22,49,40,2,0,55,4,caught,1,,v England,Birmingham,29-May-99,22
0,5,4,0,0,0,2,caught,2,,v Australia,The Oval,04-Jun-99,0
45,92,65,5,0,69.23,1,caught,1,,v Pakistan,Manchester,08-Jun-99,45
16,26,22,2,0,72.72,1,bowled,1,,v New Zealand,Nottingham,12-Jun-99,16
52,91,72,7,0,72.22,2,caught,1,,v Netherlands,Paarl,12-Feb-03,52
36,127,59,3,0,61.01,2,lbw,1,,v Australia,Centurion,15-Feb-03,36
81,122,91,10,0,89.01,2,bowled,1,,v Zimbabwe,Harare,19-Feb-03,81
152,193,151,18,0,100.66,2,bowled,1,,v Namibia,Pietermaritzburg,23-Feb-03,152
50,78,52,8,1,96.15,2,caught,1,,v England,Durban,26-Feb-03,50
98,145,75,12,1,130.66,1,caught,2,,v Pakistan,Centurion,01-Mar-03,98
5,21,12,1,0,41.66,2,caught,2,,v Kenya,Cape Town,07-Mar-03,5
97,160,120,7,1,80.83,1,caught,1,,v Sri Lanka,Johannesburg,10-Mar-03,97
15,25,16,3,0,93.75,2,caught,2,,v New Zealand,Centurion,14-Mar-03,15
83,166,101,5,1,82.17,2,caught,1,,v Kenya,Durban,20-Mar-03,83
4,2,5,1,0,80,1,caught,2,,v Australia,Johannesburg,23-Mar-03,4
7,40,26,1,0,26.92,4,caught,1,,v Bangladesh,Port of Spain,17-Mar-07,7
0,5,3,0,0,0,4,bowled,2,,v Sri Lanka,Port of Spain,23-Mar-07,0
28,46,29,4,0,96.55,2,run out,1,,v Bangladesh,Dhaka,19-Feb-11,28
120,170,115,10,5,104.34,2,caught,1,,v England,Bengaluru,27-Feb-11,120
38,91,56,4,0,67.85,2,lbw,2,,v Ireland,Bengaluru,06-Mar-11,38
27,45,22,6,0,122.72,2,caught,2,,v Netherlands,Delhi,09-Mar-11,27
111,184,101,8,3,109.9,2,caught,1,,v South Africa,Nagpur,12-Mar-11,111
2,4,4,0,0,50,2,caught,1,,v West Indies,Chennai,20-Mar-11,2
53,93,68,7,0,77.94,2,caught,2,,v Australia,Ahmedabad,24-Mar-11,53
85,160,115,11,0,73.91,2,caught,1,,v Pakistan,Mohali,30-Mar-11,85
18,21,14,2,0,128.57,2,caught,2,,v Sri Lanka,Mumbai,02-Apr-11,18
